Time_03,IPC_03,Time_19,IPC_19
77.08563612,2.7064,62.6079898,1.745441011
77.18577016,2.7227,62.70815928,1.732568166
77.28588804,2.1488,62.8083321,1.801978582
77.3860043,2.1359,62.90851703,1.902787549
77.48611866,2.1584,63.00867613,1.803329009
77.58623388,2.5771,63.10884414,1.771055597
77.68635148,2.7685,63.20902019,1.917368185
77.78647093,2.685,63.30920158,1.621412039
77.88658777,2.2989,63.4093917,1.320668636
77.98671081,3.2419,63.50952502,1.204044792
78.08687749,3.1736,63.60969085,1.719307212
78.18702796,3.3436,63.70986819,2.34158018
78.28717744,3.1643,63.81004441,2.241671374
78.38724917,3.3178,63.91021777,1.87845456
78.4873959,2.729,64.0103832,1.676560873
78.58753586,2.7584,64.110554,1.767357909
78.68766092,2.6698,64.21072239,1.804477675
78.78777927,2.6846,64.31091154,1.800100218
78.88789635,2.7094,64.41108846,1.960145172
78.98802637,2.4111,64.5112617,1.681062924
79.08814254,2.1476,64.61143125,1.876395634
79.18825762,2.1255,64.71159827,2.013739896
79.28837415,2.3762,64.81177459,1.309571193
79.3884912,2.7454,64.9119345,1.249085934
79.4886116,2.7196,65.01209366,1.176082398
79.58872917,2.3306,65.11249719,1.314621405
79.68885114,2.8929,70.14180984,1.429384012
79.78899939,3.302,70.24198253,1.553737926
79.8891589,3.2073,70.34213143,1.434543442
79.9893104,3.1958,70.44228273,1.384753898
80.08946244,3.2624,70.54243303,1.561157596
80.18961134,3.0923,70.64259656,1.423411989
80.28975905,2.712,70.74275027,1.475320507
80.3898912,2.7205,70.84286158,1.421371142
80.49001321,2.6188,70.9430185,1.383547581
80.59013826,2.7089,71.04317481,1.314694378
80.69026971,2.6958,71.1433263,1.381706945
80.79038704,2.1057,71.24348024,1.550308663
80.89050294,2.1445,71.34362728,1.496027799
80.99057525,2.1698,71.44377691,1.376540944
81.09069091,2.6387,71.54394368,1.524925414
81.19080839,2.7455,71.64409156,1.466612338
81.29092784,2.6173,71.74424133,1.441295408
81.3910472,2.3882,71.84438757,1.457955751
81.49118014,3.2406,71.94453283,1.371465839
81.59134099,3.2451,72.04468406,1.340630502
81.69148964,3.2546,72.14483493,1.36630601
81.79163838,3.17,72.24498779,1.509896881
81.89178767,3.3529,72.34513582,1.543536584
81.99215353,2.9528,72.4453024,1.368966056
87.01749671,3.1081,72.54545727,1.49339702
87.11765977,3.7246,72.6456045,1.515656637
87.21780918,3.5781,72.74575308,1.396832062
87.3179635,4.0036,72.84590326,1.485982189
87.41812273,3.6384,72.94605396,1.372768933
87.51826864,3.8489,73.04619559,1.335616744
87.61842548,3.6803,73.1463479,1.375917199
87.71857574,3.8611,73.24649907,1.454352443
87.81873024,3.6631,73.34666226,1.547837085
87.91889374,3.8443,73.44681443,1.378504557
88.01904885,3.6514,73.54696929,1.480367634
88.11920467,3.6322,73.64712648,1.529448
88.21959422,0.7457,73.74728615,1.412414827
93.14319999,2.6287,73.84743627,1.497225656
93.24335349,2.8701,73.94758715,1.385833775
93.34351575,3.222,74.04774199,1.355363639
93.44368714,3.2141,74.14791237,1.35026477
93.54384285,3.1459,74.24807242,1.423898978
93.64391447,3.2616,74.34822428,1.580163938
93.74405889,3.2424,74.44837209,1.38773649
93.84420245,3.1509,74.5485235,1.464884971
93.94434755,3.2653,74.64867002,1.5295369
94.04449438,3.2351,74.74881943,1.414872866
94.14464584,3.1423,74.84897205,1.496355815
94.24480007,3.2592,74.94911844,1.405971873
94.34495922,3.2282,75.04928273,1.365893182
94.44510028,3.1535,75.14943741,1.31488881
94.54524434,3.2634,75.24983377,1.411020452
94.64538615,3.2283,80.27927135,1.885644708
94.7455458,3.1461,80.37944654,1.971779746
94.84569151,3.256,80.47952889,2.473706826
94.94583586,3.2516,80.57971562,2.693686273
95.0459946,3.1387,80.67987681,2.66114873
95.14615238,3.2619,80.78003746,2.693128354
95.24630418,3.2381,80.88019428,2.699279547
95.34645334,3.1492,80.9803485,3.111090508
95.44659787,3.2557,81.08050635,3.293211671
95.54674423,3.2188,81.18064665,3.29832421
95.6468988,3.1473,81.28078627,3.330123352
95.74704561,3.2679,81.38094062,3.322995643
95.84719808,3.2383,81.4810794,3.34610429
95.94724689,3.147,81.58121756,3.324946411
96.04743165,3.2585,81.68135591,3.329320113
96.14758373,3.2345,81.7814949,3.313935572
96.24772931,3.1449,81.88163243,3.332579946
96.34787626,3.2446,81.98177437,2.495431614
96.44802855,3.2171,82.08194495,2.710812645
96.54817611,3.1389,82.18210546,2.691113672
96.64832139,3.2529,82.28228193,2.671586218
96.74848712,3.2233,82.38244259,2.702663233
96.84863258,3.1474,82.48259988,3.024677238
96.94878798,3.2525,82.58275504,3.294667776
97.04912637,3.462,82.68286064,3.330086567
102.0738624,2.7757,82.78299887,3.320001385
102.1739143,3.3552,82.88313612,3.331916452
102.2740892,3.7129,82.98327321,3.331207609
102.3742489,1.8649,83.0834118,3.303188104
102.474387,1.6689,83.18356251,3.27972279
102.574532,2.4796,83.2837006,3.285184878
102.6746717,1.5086,83.38383689,3.333879529
102.774811,3.3919,83.48397939,2.667497911
102.8749489,2.9315,83.58415294,2.681312693
102.975079,0.9576,83.68431812,2.694319356
103.0752071,2.7212,83.78447545,2.684594709
103.1753458,1.7766,83.88463527,2.699921326
103.2754962,2.7461,83.98481012,2.878239217
103.3756279,3.5427,84.08496749,3.269557957
103.4757681,1.0512,84.18511506,3.277149202
103.5758988,2.3051,84.28525662,3.315152113
103.6760409,2.1001,84.38539545,3.32029974
103.7761835,2.2923,84.48553497,3.304389923
103.8763161,3.6599,84.58567446,3.324473246
103.9764456,1.4875,84.6858112,3.303068338
104.0765814,1.9678,84.78594866,3.30637973
104.1767422,2.335,84.88609503,3.332380078
104.2768838,1.8789,84.98619474,2.853802722
104.3770212,3.6918,85.08636487,2.660136897
104.47715,1.9394,85.18653006,2.691260834
104.5772516,1.6529,85.28668756,2.68148315
104.6773917,2.4804,85.38684624,2.719966233
104.7775386,1.4494,85.48700234,2.784809538
109.8023754,3.2567,85.5871589,3.260004383
109.9025172,4.2504,85.68730922,3.287072944
110.0026679,2.8049,85.78746548,3.279083982
110.1028056,2.7587,85.88760495,3.335691413
110.2029308,2.4789,85.98774242,3.339100282
110.3030793,2.5431,86.08788105,3.288592735
110.4032018,2.5638,86.1880198,3.334463703
110.5033312,2.5525,86.28816152,3.251082877
110.6034585,2.7054,86.38829879,3.259963522
110.7036137,1.5889,86.48844302,3.171066356
110.803756,2.0055,86.58860315,2.497099401
110.9039033,2.0729,86.6887875,2.705229489
111.0040405,2.084,86.78894934,2.682567506
111.1041762,2.0695,86.88910999,2.705818042
111.2043082,2.0719,86.98926648,2.702744768
111.3044603,2.0838,87.08942324,3.169828737
111.4045959,2.0665,87.18952084,3.276970204
111.504728,2.1222,87.2896663,3.305925085
111.6048632,2.1237,87.38980575,3.297501378
111.7049962,2.0708,87.48994464,3.340877824
111.8051278,2.0566,87.59009694,3.330849854
111.9052774,2.8269,87.69023606,3.340935193
112.0054105,2.7557,87.79037273,3.288012584
112.1055388,2.4789,87.89050906,3.312205936
112.2057002,2.5477,87.99064637,3.361491512
112.3058297,2.568,88.09107181,2.120246713
112.4059496,2.5508,93.1214032,2.200003225
112.5060765,2.6481,93.22157115,2.301829661
112.6062297,1.6106,93.32170882,1.246384519
112.7063725,2.0215,93.42185028,0.970761028
112.8065084,2.0663,93.52198251,0.983119589
112.9066473,2.0799,93.62211378,1.013639607
113.0067848,2.0788,93.72224544,1.839153541
113.106935,2.079,93.82238179,1.691085507
113.2070682,2.0889,93.92253696,0.952148415
113.3072023,2.0631,94.02266885,0.950349321
113.4072438,2.136,94.12280135,0.951795471
113.5073775,2.1245,94.22284988,0.959846615
113.607509,2.048,94.32298017,0.960698164
113.7076494,2.0851,94.42311297,0.965161056
113.8078089,2.8205,94.52324216,0.966268528
113.9079374,2.7576,94.62337097,1.613605464
114.0080709,2.4485,94.72351507,2.008231957
114.1082196,2.546,94.82364541,1.975620641
114.2083424,2.5668,94.9237745,2.012799542
114.3084605,2.558,95.02390433,2.149044701
114.4085866,2.3885,95.12403524,2.17007444
114.5087388,1.7862,95.22416981,1.346105234
114.6088791,2.0309,95.32432715,0.962159033
114.709015,2.0709,95.42446152,0.964609403
114.809148,2.0777,95.52459239,0.960917949
114.9093025,2.073,95.62473717,0.972355623
115.0094387,2.1151,95.72486748,0.987687993
115.1095721,2.126,95.82499753,1.241482156
115.2097027,2.0811,95.92513158,2.014136569
115.3098355,2.0663,96.02526726,2.474828568
115.4099706,2.0538,96.12542847,2.532420986
115.5101062,2.0566,96.22558714,2.535931354
115.6102412,2.222,96.32574915,2.45955779
115.7104089,2.7939,96.42590763,2.558049256
115.8105419,2.8044,96.52608482,2.472589079
115.9106784,2.3873,96.62619034,2.575471081
116.0108165,2.5548,96.72634875,2.528235838
116.1109425,2.557,96.8265044,2.556965912
116.2110591,2.5619,96.92665893,2.273168162
116.3111858,2.2015,97.02680306,2.323261698
116.4113384,1.9114,97.12693821,1.069679476
116.5114807,2.0402,97.22707875,0.991437299
116.6116333,2.065,97.32721019,1.014926998
116.7117716,2.082,97.42735582,1.036546056
116.8119077,2.1176,97.52748581,2.105522934
116.9120413,2.129,97.62763432,1.42034437
117.0121771,2.0391,97.72777573,0.966489493
117.1123256,2.0581,97.82790695,0.966643893
117.2124602,2.0684,97.92803822,0.963767335
117.3125987,2.0636,98.02816742,0.978623378
117.4127322,2.0778,98.12829526,0.974192626
117.5128835,2.3332,98.22842318,0.983173879
117.6130208,2.7763,98.3285628,0.977969154
117.7131503,2.7008,98.42869309,1.978332799
117.8132909,2.4741,98.52882297,2.013880779
117.9134194,2.5462,98.62895254,1.980697129
118.0135396,2.5609,98.72908076,2.018143066
118.1136588,2.5559,98.8292099,2.17861083
118.213786,2.1093,98.92934213,1.992557164
118.3139133,1.9708,99.02948771,1.127754875
118.4140555,2.0534,99.12965706,0.97777082
118.5141979,2.0891,99.22978808,0.975188873
118.6143345,2.0938,99.3299195,0.986106165
118.7144664,2.1239,99.43004993,0.983683085
118.8145977,2.0623,99.53019292,1.020796489
118.9147337,2.0586,99.63032181,1.728514033
119.0148651,2.0644,99.73045754,2.187740771
119.1149995,2.0733,99.83059913,2.53448985
